ident,iata_code
03N,UTK
07FA,OCA
0AK,PQS
0CO2,CSE
0TE7,JCY
13MA,PMX
13Z,WLR
16A,NUP
16K,PTC
19AK,ICY
19P,PPV
1KC,KKK
1O6,MHS
1XA2,NIR
1Z1,GCT
1Z9,ELW
2AK,LVD
2AK6,HGZ
2IG4,OTN
2K5,TLF
2TE0,BZT
2Z1,HBH
2Z6,FAK
38WA,BYW
3AK5,DRF
3IS8,BDF
3VS,VRS
3Z8,GDH
4A2,ATT
4AK,LIV
4K0,PDB
4K5,KOZ
4KA,TNK
4TE8,EVA
4Z7,WHD
57A,TKI
5A8,WKK
5KE,WFB
5NK,NNK
5Z9,BKF
65LA,BCS
6CA3,SPQ
6N5,TSS
6N7,QNY
6OK6,BWL
78K,WYB
78WA,CWS
7KA,TEK
7NC2,DUF
7WA5,SSW
82CL,FOB
83Q,PUL
84CL,CCD
84K,WMK
89NY,AXB
8XS8,REE
90WA,WDN
96Z,WWP
9A3,CHU
9A8,UGS
9B1,MXG
9N2,PSQ
9Z8,KLL
A23,SGW
A61,WTL
A63,TWA
A79,KCQ
AAD,AAD
ABP,ABP
ABW,ABW
AD-ALV,ALV
ADC,ADC
ADV,ADV
AE-0006,DJH
AEE,AEE
AEI,AEI
AEK,AEK
AEQ,AEQ
AF10,URZ
AF11,OLR
AFK,AFK
AFR,AFR
AGAF,AFT
AGAR,RNA
AGAT,ATD
AGBA,VEV
AGEV,GEF
AGG,AGG
AGGA,AKS
AGGB,BNY
AGGC,CHY
AGGE,BAS
AGGF,FRE
AGGH,HIR
AGGI,MBU
AGGJ,AVU
AGGK,IRA
AGGL,SCZ
AGGM,MUA
AGGN,GZO
AGGO,MNY
AGGP,PRS
AGGQ,OTV
AGGR,RNL
AGGS,EGM
AGGT,NNB
AGGU,RUS
AGGV,VAO
AGGY,XYA
AGK,AGK
AGKG,KGE
AGKU,KUE
AGKW,KWS
AGL,AGL
AGNA,NAZ
AGRC,RIN
AGRM,RBV
AGTI,TLG
AGY,AGY
AHJ,AHJ
AHT,AHT
AHY,AHY
AIE,AIE
AIH,AIH
AIP,AIC
AK13,CEX
AK26,SOL
AK33,HED
AK49,TWE
AK56,KTH
AK62,NKI
AK71,LNI
AK75,CDL
AK81,AOS
AK96,BSZ
AK97,BSW
AKM,AKM
AL73,TGE
ALZ,ALZ
AMC,PPE
AME,AME
AMF,AMF
AMU,AMU
AMY,AMY
ANH,ANH
ANYN,INU
ANZ,ANZ
AO-0005,ANL
AO-CNZ,CNZ
AO-DRC,DRC
AO-GGC,GGC
AO-JMB,JMB
AO-KNP,KNP
AO-NDF,NDF
AOA,AOA
AOB,AOB
AOD,AOD
APP,APP
APR,APR
AQY,AQY
AR-0005,QRF
AR-0007,CVI
AR-0009,CNT
AR-0010,VGS
AR-0011,LMD
AR-0015,SZQ
AR-0017,VCF
AR-0346,NCJ
AR-0390,CPG
AR-0462,PRQ
AR-0494,OLN
ARP,ARP
ARX,ARX
AS-TAV,TAV
ASZ,ASZ
ATN,ATN
ATP,ATP
AU-0081,LYT
AU-AGW,AGW
AU-AYD,AYD
AU-BYX,BYX
AU-COB,COB
AU-CRJ,CRJ
AU-CRY,CRY
AU-CSD,CSD
AU-DYM,DYM
AU-HIS,HIS
AU-HLV,HLV
AU-KBD,KBD
AU-KGR,KGR
AU-MWY,MWY
AU-MYO,MYO
AU-OKB,OKB
AU-PEP,PEP
AU-RDA,RDA
AU-SSK,SSK
AU-SWB,SWB
AU-TPR,TPR
AU-TWP,TWP
AU-ZVG,ZVG
AUI,AUI
AUJ,AUJ
AUP,AUP
AUS,AUS
AUV,AUV
AWE,AWE
AWR,AWR
AXF,AXF
AYAQ,KPM
AYBK,BUA
AYBR,BRP
AYCH,CMU
AYDK,MDM
AYDL,KPF
AYDN,DNU
AYDO,DOI
AYDU,DAU
AYEB,EMS
AYED,XYR
AYEL,EPT
AYEN,EGA
AYEO,EMO
AYER,ERU
AYES,MFZ
AYFE,FRQ
AYFR,FAQ
AYFU,FUM
AYGA,GKA
AYGF,GUG
AYGG,GRL
AYGN,GUR
AYGP,GAP
AYGR,PNP
AYGS,GBC
AYHB,HBD
AYHE,HNI
AYHH,HNN
AYHK,HKN
AYHO,HIT
AYII,IMN
AYIM,KGM
AYIO,IMD
AYIU,IAL
AYIX,WIU
AYJO,KGH
AYKA,LSA
AYKG,KPA
AYKI,UNG
AYKJ,KNE
AYKK,KRI
AYKM,KMA
AYKR,KRX
AYKT,KIE
AYKU,KUQ
AYKV,KVG
AYKY,LNV
AYLB,LAB
AYLO,LWI
AYLP,LPN
AYLS,LNG
AYLX,LSJ
AYM,AYM
AYMA,MRM
AYMB,OBM
AYMD,MAG
AYMH,HGU
AYML,GUV
AYMN,MDU
AYMO,MAS
AYMR,MXH
AYMS,MIS
AYMW,MWG
